Parameter,Process1,Process2,Process3,Temperature,V-supply,vref
C0_0,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,1.6,0.8865
C0_1,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,1.6,0.8778
C0_2,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,1.6,0.8689
C0_3,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,1.6,0.8597
C0_4,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,1.6,0.8504
C0_5,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-5,1.6,0.841
C0_6,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,5,1.6,0.8315
C0_7,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,15,1.6,0.8214
C0_8,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,25,1.6,0.8123
C0_9,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,35,1.6,0.8025
C0_10,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,45,1.6,0.7926
C0_11,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,55,1.6,0.7824
C0_12,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,65,1.6,0.7723
C0_13,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,75,1.6,0.762
C0_14,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,85,1.6,0.7516
C0_15,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,95,1.6,0.7415
C0_16,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,105,1.6,0.73
C0_17,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,115,1.6,0.7175
C0_18,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,125,1.6,0.7032
C0_19,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,1.8,0.8868
C0_20,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,1.8,0.8779
C0_21,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,1.8,0.8691
C0_22,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,1.8,0.8597
C0_23,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,1.8,0.8505
